"Всё замечательно,но не хватает ассортимента продуктов ,а также завышенные цены",1,0,0,1,0,0,0,0
"Всегда все быстро доставляли, но сейчас [NUM] часа жду курьера, заказала [NUM]:[NUM] сейчас [NUM]:[NUM], еще не приехал. При заказе время доставки было [NUM] мин никакой сильной загрузки не было",0,0,1,0,0,0,0,0
"Удобная доставка, но иногда привозят продукты отвратительного качества (испорчены), некоторые карьеры плохо доставляют заказы",0,0,0,0,1,0,0,0
Почти в каждом заказе есть просрочка или продукт плохого качества. Хотя в целом сервис ваш отличный!,1,0,0,0,1,0,0,0
Horosho no mozhno luchse,0,0,0,0,0,0,0,0
Больше круассанов,1,0,0,0,0,0,0,0
"Очень, максимально очень долгая доставка",0,0,1,0,0,0,0,0
"В том году летом заказы доставляли за [NUM] мин, это было оч быстро, сейчас чуть дольше, и хотелось бы ассортимент побольше.",1,0,1,0,0,0,0,0
"Добавьте пункт ""оставить у двери""",0,0,1,0,0,1,0,0
Добавьте карту для отслеживания курьера,0,0,1,0,0,1,0,0
Збс но раньше было лучше,0,0,0,0,0,0,0,0
"Цены дороже даже со скидками, чем в обычных магазинах",0,1,0,1,0,0,0,0
"Долго,хотя рядом с домом",0,0,1,0,0,0,0,0
"В сравнении с Лавкой доставка гораздо дольше по ожиданию, это плохо, много самокатовских продуктов и мало нормальных продуктов",1,0,1,0,1,0,0,0
"Очень долгая доставка. Надпись про [NUM] минут-вранье. Лучше бы писали диапазон,как в яндексе. И за задержку могли бы купоны давать. А так получается,задерживаете на полчаса и клиенты должны с этим мириться. Ну это не сервис,это позор.",0,0,1,0,0,1,0,0
Постоянно долго везут заказ иногда по часу приходится ждать свой заказ,0,0,1,0,0,0,0,0
Заявляете что доставка [NUM] минут по факту и по [NUM] минут ждать приходится,0,0,1,0,0,0,0,0
Все отлично за исключением скорости доставки и отсутствия возможности отслеживания курьеров онлайн,0,0,1,0,0,1,0,0
"Стали доставлять быстрее, что радует. Но очень бесят смайлики в приложении, когда задерживается заказ — это триггерит, а не снижает недовольство",0,0,1,0,0,1,0,0
Не нравится что нельзя выбрать доставку до двери. В приложении не всегда точно указывается время сидишь по итогу на иголках и ждешь. В поддержку пишешь тоже не сразу отвечают. Дискомфортно,0,0,1,0,0,1,0,0
"Сервис хороший, быстро и удобно оформляется заказ. Хорошие скидки.",0,0,0,0,0,0,0,0
"Очень долгая доставка , пишите сразу что вы долгие а не за [NUM] минут доставите",0,0,1,0,0,0,0,0
Дважды вскрытая упаковка подложек помидоров и там не хватало томатов,0,0,0,0,1,0,0,0
"Заказываю часто готовую еду , из раздела завтрак, обед и ужин . Ассортимент не меняется. Приходится искать альтернативы (например Яндекс лавка)",1,0,0,0,0,0,0,0
"Все норм, но очень долго доставляете. Иногда час приходится ждать, а не [NUM] минут как пишите",0,0,1,0,0,0,0,0
"Позицию отменили и не предложили замену, а мне доставка без этой позиции не нужна, потому что все равно в магазин выходить.",0,0,1,0,0,1,0,0
Вы хуета,0,0,0,0,0,0,0,0
Хорошо,0,0,0,0,0,0,0,0
"Раньше доставляли все быстро, теперь долго и смысла уже меньше, те же озон фреш доставляют в течение часа и ассортимент больше и продукты по сроку годности всегда хорошие",1,0,1,0,1,0,0,0
"Вот бы курьеры находили адрес сразу, а не отменяли заказ. И привозили спелые фрукты, а не зелёные или уже перезревшие.",0,0,1,0,1,0,0,0
"Слабый сервис поддержки, периодически продукты с истекающим сроком годности или ненадлежащего хранения. Компенсация за товар отсутствует, та же Лавка даёт сразу промокоды на будущие покупки или полностью компенсирует Цены в среднем выше, чем в Лавке.",0,1,0,1,1,1,0,0
Яндекс работает лучше,0,0,0,0,0,0,0,0
"Ждём по [NUM],[NUM] часа а операторы тупо молчат",0,0,1,0,0,1,0,0
Долгая доставка,0,0,1,0,0,0,0,0
Сборщики не прислушиваются к комментариям во время сборки Поддержка не компетентна,0,0,1,0,0,1,0,0
Очень очень долго! Всегда опаздывают,0,0,1,0,0,0,0,0
Улучшить ассортимент и качество продукции!,1,0,0,0,1,0,0,0
"в принципе все хорошо, но иногда приезжают не очень свежие продукты",0,0,0,0,1,0,0,0
Долгая доставка,0,0,1,0,0,0,0,0
Приложение самокат топ!Все есть то что я люблю и то что надо,0,0,0,0,0,0,0,0
"В целом очень удобный сервис доставки продуктов, с доступными ценами, однако периодически бывают курьеры, которые очень плохо говорят по русски, в связи с чем разобрать что они говорят по телефону невозможно, что приводит к отменам заказа",0,0,1,0,0,1,0,0
"супер,иногда завышены цены",0,0,0,1,0,0,0,0
"Часто выбираю другую доставку, потому что быстрее. Самокат выбираю тогда, когда нет нужного товара или хочу заказать что-то производства самоката",0,0,1,0,0,0,0,0
Круто,0,0,0,0,0,0,0,0
"Цены достаточно высокие. Непомерные деньги за фрукты и овощи. Маркетинговый ход понятен с меньшим весом. Но [NUM]-[NUM] грамм по цене килограмма - это жесть. Невозможно сделать [NUM] корзины. Отложить в отдельную папку то, что нужно купить на завтра, вроде списка",1,1,0,1,0,0,1,0
"Понравился ваш стм довольно качественно,некоторые продукты приятно удивили",0,0,0,0,0,0,0,0
"Исправьте момент с тем, что приходится долго ждать, пока курьер разложит в подъезде все продукты в ряд и сфотографирует их! Минут [NUM] стоит ждешь",0,0,1,0,0,0,0,0
Готовая еда вся не вкусная,0,0,0,0,1,0,0,0
"Последние [NUM]-[NUM] доставок вы задерживаетесь, и о задержки я узнаю только по факту,что вы опаздываете. Курьеры говорят мы не виноваты ,это всё приложение. А многие люди расчитывать на указанное время,сейчас заказала уже пол часа назад,а вы только собир заказ",0,0,1,0,0,0,0,0
"Хотелось бы отслеживать реальное время доставки, допустим как в такси. Потому что когда пишут:"" Курьер вот-вот будет у вас "" и так уже [NUM] минут, это не совсем удобно",0,0,1,0,0,1,0,0
